"cod","icd10_range","icd10"
"Neonatal infections","A00-A09","A00"
"Neonatal infections","A00-A09","A01"
"Neonatal infections","A00-A09","A02"
"Neonatal infections","A00-A09","A03"
"Neonatal infections","A00-A09","A04"
"Neonatal infections","A00-A09","A05"
"Neonatal infections","A00-A09","A06"
"Neonatal infections","A00-A09","A07"
"Neonatal infections","A00-A09","A08"
"Neonatal infections","A00-A09","A09"
"Other","A15-A19","A15"
"Other","A15-A19","A16"
"Other","A15-A19","A17"
"Other","A15-A19","A18"
"Other","A15-A19","A19"
"Neonatal infections","A20-A28","A20"
"Neonatal infections","A20-A28","A21"
"Neonatal infections","A20-A28","A22"
"Neonatal infections","A20-A28","A23"
"Neonatal infections","A20-A28","A24"
"Neonatal infections","A20-A28","A25"
"Neonatal infections","A20-A28","A26"
"Neonatal infections","A20-A28","A27"
"Neonatal infections","A20-A28","A28"
"Other","A30-A31","A30"
"Other","A30-A31","A31"
"Neonatal infections","A32-A35","A32"
"Neonatal infections","A32-A35","A33"
"Neonatal infections","A32-A35","A34"
"Neonatal infections","A32-A35","A35"
"Other","A36","A36"
"Neonatal infections","A37-A44","A37"
"Neonatal infections","A37-A44","A38"
"Neonatal infections","A37-A44","A39"
"Neonatal infections","A37-A44","A40"
"Neonatal infections","A37-A44","A41"
"Neonatal infections","A37-A44","A42"
"Neonatal infections","A37-A44","A43"
"Neonatal infections","A37-A44","A44"
"Neonatal infections","A46","A46"
"Neonatal infections","A48-A49","A48"
"Neonatal infections","A48-A49","A49"
"Other","A50-A67","A50"
"Other","A50-A67","A51"
"Other","A50-A67","A52"
"Other","A50-A67","A53"
"Other","A50-A67","A54"
"Other","A50-A67","A55"
"Other","A50-A67","A56"
"Other","A50-A67","A57"
"Other","A50-A67","A58"
"Other","A50-A67","A59"
"Other","A50-A67","A60"
"Other","A50-A67","A61"
"Other","A50-A67","A62"
"Other","A50-A67","A63"
"Other","A50-A67","A64"
"Other","A50-A67","A65"
"Other","A50-A67","A66"
"Other","A50-A67","A67"
"Neonatal infections","A68-A70","A68"
"Neonatal infections","A68-A70","A69"
"Neonatal infections","A68-A70","A70"
"Other","A71","A71"
"Neonatal infections","A74-A75","A74"
"Neonatal infections","A74-A75","A75"
"Neonatal infections","A77-A79","A77"
"Neonatal infections","A77-A79","A78"
"Neonatal infections","A77-A79","A79"
"Other","A80","A80"
"Neonatal infections","A81-A90","A81"
"Neonatal infections","A81-A90","A82"
"Neonatal infections","A81-A90","A83"
"Neonatal infections","A81-A90","A84"
"Neonatal infections","A81-A90","A85"
"Neonatal infections","A81-A90","A86"
"Neonatal infections","A81-A90","A87"
"Neonatal infections","A81-A90","A88"
"Neonatal infections","A81-A90","A89"
"Neonatal infections","A81-A90","A90"
"Other","A91-A99","A91"
"Other","A91-A99","A92"
"Other","A91-A99","A93"
"Other","A91-A99","A94"
"Other","A91-A99","A95"
"Other","A91-A99","A96"
"Other","A91-A99","A97"
"Other","A91-A99","A98"
"Other","A91-A99","A99"
"Other","B00-B09","B00"
"Other","B00-B09","B01"
"Other","B00-B09","B02"
"Other","B00-B09","B03"
"Other","B00-B09","B04"
"Other","B00-B09","B05"
"Other","B00-B09","B06"
"Other","B00-B09","B07"
"Other","B00-B09","B08"
"Other","B00-B09","B09"
"Other","B15-B27","B15"
"Other","B15-B27","B16"
"Other","B15-B27","B17"
"Other","B15-B27","B18"
"Other","B15-B27","B19"
"Other","B15-B27","B20"
"Other","B15-B27","B21"
"Other","B15-B27","B22"
"Other","B15-B27","B23"
"Other","B15-B27","B24"
"Other","B15-B27","B25"
"Other","B15-B27","B26"
"Other","B15-B27","B27"
"Other","B30","B30"
"Other","B33-B53","B33"
"Other","B33-B53","B34"
"Other","B33-B53","B35"
"Other","B33-B53","B36"
"Other","B33-B53","B37"
"Other","B33-B53","B38"
"Other","B33-B53","B39"
"Other","B33-B53","B40"
"Other","B33-B53","B41"
"Other","B33-B53","B42"
"Other","B33-B53","B43"
"Other","B33-B53","B44"
"Other","B33-B53","B45"
"Other","B33-B53","B46"
"Other","B33-B53","B47"
"Other","B33-B53","B48"
"Other","B33-B53","B49"
"Other","B33-B53","B50"
"Other","B33-B53","B51"
"Other","B33-B53","B52"
"Other","B33-B53","B53"
"Neonatal infections","B54","B54"
"Other","B55-B60","B55"
"Other","B55-B60","B56"
"Other","B55-B60","B57"
"Other","B55-B60","B58"
"Other","B55-B60","B59"
"Other","B55-B60","B60"
"Other","B64-B83","B64"
"Other","B64-B83","B65"
"Other","B64-B83","B66"
"Other","B64-B83","B67"
"Other","B64-B83","B68"
"Other","B64-B83","B69"
"Other","B64-B83","B70"
"Other","B64-B83","B71"
"Other","B64-B83","B72"
"Other","B64-B83","B73"
"Other","B64-B83","B74"
"Other","B64-B83","B75"
"Other","B64-B83","B76"
"Other","B64-B83","B77"
"Other","B64-B83","B78"
"Other","B64-B83","B79"
"Other","B64-B83","B80"
"Other","B64-B83","B81"
"Other","B64-B83","B82"
"Other","B64-B83","B83"
"Other","B85-B92","B85"
"Other","B85-B92","B86"
"Other","B85-B92","B87"
"Other","B85-B92","B88"
"Other","B85-B92","B89"
"Other","B85-B92","B90"
"Other","B85-B92","B91"
"Other","B85-B92","B92"
"Other","B94","B94"
"Neonatal infections","B95-B96","B95"
"Neonatal infections","B95-B96","B96"
"Other","B97","B97"
"Other","B99","B99"
"Other","C00-C75","C00"
"Other","C00-C75","C01"
"Other","C00-C75","C02"
"Other","C00-C75","C03"
"Other","C00-C75","C04"
"Other","C00-C75","C05"
"Other","C00-C75","C06"
"Other","C00-C75","C07"
"Other","C00-C75","C08"
"Other","C00-C75","C09"
"Other","C00-C75","C10"
"Other","C00-C75","C11"
"Other","C00-C75","C12"
"Other","C00-C75","C13"
"Other","C00-C75","C14"
"Other","C00-C75","C15"
"Other","C00-C75","C16"
"Other","C00-C75","C17"
"Other","C00-C75","C18"
"Other","C00-C75","C19"
"Other","C00-C75","C20"
"Other","C00-C75","C21"
"Other","C00-C75","C22"
"Other","C00-C75","C23"
"Other","C00-C75","C24"
"Other","C00-C75","C25"
"Other","C00-C75","C26"
"Other","C00-C75","C27"
"Other","C00-C75","C28"
"Other","C00-C75","C29"
"Other","C00-C75","C30"
"Other","C00-C75","C31"
"Other","C00-C75","C32"
"Other","C00-C75","C33"
"Other","C00-C75","C34"
"Other","C00-C75","C35"
"Other","C00-C75","C36"
"Other","C00-C75","C37"
"Other","C00-C75","C38"
"Other","C00-C75","C39"
"Other","C00-C75","C40"
"Other","C00-C75","C41"
"Other","C00-C75","C42"
"Other","C00-C75","C43"
"Other","C00-C75","C44"
"Other","C00-C75","C45"
"Other","C00-C75","C46"
"Other","C00-C75","C47"
"Other","C00-C75","C48"
"Other","C00-C75","C49"
"Other","C00-C75","C50"
"Other","C00-C75","C51"
"Other","C00-C75","C52"
"Other","C00-C75","C53"
"Other","C00-C75","C54"
"Other","C00-C75","C55"
"Other","C00-C75","C56"
"Other","C00-C75","C57"
"Other","C00-C75","C58"
"Other","C00-C75","C59"
"Other","C00-C75","C60"
"Other","C00-C75","C61"
"Other","C00-C75","C62"
"Other","C00-C75","C63"
"Other","C00-C75","C64"
"Other","C00-C75","C65"
"Other","C00-C75","C66"
"Other","C00-C75","C67"
"Other","C00-C75","C68"
"Other","C00-C75","C69"
"Other","C00-C75","C70"
"Other","C00-C75","C71"
"Other","C00-C75","C72"
"Other","C00-C75","C73"
"Other","C00-C75","C74"
"Other","C00-C75","C75"
"Congenital anomalies","C76","C76"
"Other","C77-C97","C77"
"Other","C77-C97","C78"
"Other","C77-C97","C79"
"Other","C77-C97","C80"
"Other","C77-C97","C81"
"Other","C77-C97","C82"
"Other","C77-C97","C83"
"Other","C77-C97","C84"
"Other","C77-C97","C85"
"Other","C77-C97","C86"
"Other","C77-C97","C87"
"Other","C77-C97","C88"
"Other","C77-C97","C89"
"Other","C77-C97","C90"
"Other","C77-C97","C91"
"Other","C77-C97","C92"
"Other","C77-C97","C93"
"Other","C77-C97","C94"
"Other","C77-C97","C95"
"Other","C77-C97","C96"
"Other","C77-C97","C97"
"Other","D00-D48","D00"
"Other","D00-D48","D01"
"Other","D00-D48","D02"
"Other","D00-D48","D03"
"Other","D00-D48","D04"
"Other","D00-D48","D05"
"Other","D00-D48","D06"
"Other","D00-D48","D07"
"Other","D00-D48","D08"
"Other","D00-D48","D09"
"Other","D00-D48","D10"
"Other","D00-D48","D11"
"Other","D00-D48","D12"
"Other","D00-D48","D13"
"Other","D00-D48","D14"
"Other","D00-D48","D15"
"Other","D00-D48","D16"
"Other","D00-D48","D17"
"Other","D00-D48","D18"
"Other","D00-D48","D19"
"Other","D00-D48","D20"
"Other","D00-D48","D21"
"Other","D00-D48","D22"
"Other","D00-D48","D23"
"Other","D00-D48","D24"
"Other","D00-D48","D25"
"Other","D00-D48","D26"
"Other","D00-D48","D27"
"Other","D00-D48","D28"
"Other","D00-D48","D29"
"Other","D00-D48","D30"
"Other","D00-D48","D31"
"Other","D00-D48","D32"
"Other","D00-D48","D33"
"Other","D00-D48","D34"
"Other","D00-D48","D35"
"Other","D00-D48","D36"
"Other","D00-D48","D37"
"Other","D00-D48","D38"
"Other","D00-D48","D39"
"Other","D00-D48","D40"
"Other","D00-D48","D41"
"Other","D00-D48","D42"
"Other","D00-D48","D43"
"Other","D00-D48","D44"
"Other","D00-D48","D45"
"Other","D00-D48","D46"
"Other","D00-D48","D47"
"Other","D00-D48","D48"
"Other","D50-D53","D50"
"Other","D50-D53","D51"
"Other","D50-D53","D52"
"Other","D50-D53","D53"
"Other","D55-D63","D55"
"Other","D55-D63","D56"
"Other","D55-D63","D57"
"Other","D55-D63","D58"
"Other","D55-D63","D59"
"Other","D55-D63","D60"
"Other","D55-D63","D61"
"Other","D55-D63","D62"
"Other","D55-D63","D63"
"Prematurity and low birthweight","D64","D64"
"Other","D65-D89","D65"
"Other","D65-D89","D66"
"Other","D65-D89","D67"
"Other","D65-D89","D68"
"Other","D65-D89","D69"
"Other","D65-D89","D70"
"Other","D65-D89","D71"
"Other","D65-D89","D72"
"Other","D65-D89","D73"
"Other","D65-D89","D74"
"Other","D65-D89","D75"
"Other","D65-D89","D76"
"Other","D65-D89","D77"
"Other","D65-D89","D78"
"Other","D65-D89","D79"
"Other","D65-D89","D80"
"Other","D65-D89","D81"
"Other","D65-D89","D82"
"Other","D65-D89","D83"
"Other","D65-D89","D84"
"Other","D65-D89","D85"
"Other","D65-D89","D86"
"Other","D65-D89","D87"
"Other","D65-D89","D88"
"Other","D65-D89","D89"
"Other","E00-E35","E00"
"Other","E00-E35","E01"
"Other","E00-E35","E02"
"Other","E00-E35","E03"
"Other","E00-E35","E04"
"Other","E00-E35","E05"
"Other","E00-E35","E06"
"Other","E00-E35","E07"
"Other","E00-E35","E08"
"Other","E00-E35","E09"
"Other","E00-E35","E10"
"Other","E00-E35","E11"
"Other","E00-E35","E12"
"Other","E00-E35","E13"
"Other","E00-E35","E14"
"Other","E00-E35","E15"
"Other","E00-E35","E16"
"Other","E00-E35","E17"
"Other","E00-E35","E18"
"Other","E00-E35","E19"
"Other","E00-E35","E20"
"Other","E00-E35","E21"
"Other","E00-E35","E22"
"Other","E00-E35","E23"
"Other","E00-E35","E24"
"Other","E00-E35","E25"
"Other","E00-E35","E26"
"Other","E00-E35","E27"
"Other","E00-E35","E28"
"Other","E00-E35","E29"
"Other","E00-E35","E30"
"Other","E00-E35","E31"
"Other","E00-E35","E32"
"Other","E00-E35","E33"
"Other","E00-E35","E34"
"Other","E00-E35","E35"
"Other","E40-E46","E40"
"Other","E40-E46","E41"
"Other","E40-E46","E42"
"Other","E40-E46","E43"
"Other","E40-E46","E44"
"Other","E40-E46","E45"
"Other","E40-E46","E46"
"Other","E50-E56","E50"
"Other","E50-E56","E51"
"Other","E50-E56","E52"
"Other","E50-E56","E53"
"Other","E50-E56","E54"
"Other","E50-E56","E55"
"Other","E50-E56","E56"
"Other","E59-E61","E59"
"Other","E59-E61","E60"
"Other","E59-E61","E61"
"Other","E63-E90","E63"
"Other","E63-E90","E64"
"Other","E63-E90","E65"
"Other","E63-E90","E66"
"Other","E63-E90","E67"
"Other","E63-E90","E68"
"Other","E63-E90","E69"
"Other","E63-E90","E70"
"Other","E63-E90","E71"
"Other","E63-E90","E72"
"Other","E63-E90","E73"
"Other","E63-E90","E74"
"Other","E63-E90","E75"
"Other","E63-E90","E76"
"Other","E63-E90","E77"
"Other","E63-E90","E78"
"Other","E63-E90","E79"
"Other","E63-E90","E80"
"Other","E63-E90","E81"
"Other","E63-E90","E82"
"Other","E63-E90","E83"
"Other","E63-E90","E84"
"Other","E63-E90","E85"
"Other","E63-E90","E86"
"Other","E63-E90","E87"
"Other","E63-E90","E88"
"Other","E63-E90","E89"
"Other","E63-E90","E90"
"Other","F00-F99","F00"
"Other","F00-F99","F01"
"Other","F00-F99","F02"
"Other","F00-F99","F03"
"Other","F00-F99","F04"
"Other","F00-F99","F05"
"Other","F00-F99","F06"
"Other","F00-F99","F07"
"Other","F00-F99","F08"
"Other","F00-F99","F09"
"Other","F00-F99","F10"
"Other","F00-F99","F11"
"Other","F00-F99","F12"
"Other","F00-F99","F13"
"Other","F00-F99","F14"
"Other","F00-F99","F15"
"Other","F00-F99","F16"
"Other","F00-F99","F17"
"Other","F00-F99","F18"
"Other","F00-F99","F19"
"Other","F00-F99","F20"
"Other","F00-F99","F21"
"Other","F00-F99","F22"
"Other","F00-F99","F23"
"Other","F00-F99","F24"
"Other","F00-F99","F25"
"Other","F00-F99","F26"
"Other","F00-F99","F27"
"Other","F00-F99","F28"
"Other","F00-F99","F29"
"Other","F00-F99","F30"
"Other","F00-F99","F31"
"Other","F00-F99","F32"
"Other","F00-F99","F33"
"Other","F00-F99","F34"
"Other","F00-F99","F35"
"Other","F00-F99","F36"
"Other","F00-F99","F37"
"Other","F00-F99","F38"
"Other","F00-F99","F39"
"Other","F00-F99","F40"
"Other","F00-F99","F41"
"Other","F00-F99","F42"
"Other","F00-F99","F43"
"Other","F00-F99","F44"
"Other","F00-F99","F45"
"Other","F00-F99","F46"
"Other","F00-F99","F47"
"Other","F00-F99","F48"
"Other","F00-F99","F49"
"Other","F00-F99","F50"
"Other","F00-F99","F51"
"Other","F00-F99","F52"
"Other","F00-F99","F53"
"Other","F00-F99","F54"
"Other","F00-F99","F55"
"Other","F00-F99","F56"
"Other","F00-F99","F57"
"Other","F00-F99","F58"
"Other","F00-F99","F59"
"Other","F00-F99","F60"
"Other","F00-F99","F61"
"Other","F00-F99","F62"
"Other","F00-F99","F63"
"Other","F00-F99","F64"
"Other","F00-F99","F65"
"Other","F00-F99","F66"
"Other","F00-F99","F67"
"Other","F00-F99","F68"
"Other","F00-F99","F69"
"Other","F00-F99","F70"
"Other","F00-F99","F71"
"Other","F00-F99","F72"
"Other","F00-F99","F73"
"Other","F00-F99","F74"
"Other","F00-F99","F75"
"Other","F00-F99","F76"
"Other","F00-F99","F77"
"Other","F00-F99","F78"
"Other","F00-F99","F79"
"Other","F00-F99","F80"
"Other","F00-F99","F81"
"Other","F00-F99","F82"
"Other","F00-F99","F83"
"Other","F00-F99","F84"
"Other","F00-F99","F85"
"Other","F00-F99","F86"
"Other","F00-F99","F87"
"Other","F00-F99","F88"
"Other","F00-F99","F89"
"Other","F00-F99","F90"
"Other","F00-F99","F91"
"Other","F00-F99","F92"
"Other","F00-F99","F93"
"Other","F00-F99","F94"
"Other","F00-F99","F95"
"Other","F00-F99","F96"
"Other","F00-F99","F97"
"Other","F00-F99","F98"
"Other","F00-F99","F99"
"Neonatal infections","G00-G09","G00"
"Neonatal infections","G00-G09","G01"
"Neonatal infections","G00-G09","G02"
"Neonatal infections","G00-G09","G03"
"Neonatal infections","G00-G09","G04"
"Neonatal infections","G00-G09","G05"
"Neonatal infections","G00-G09","G06"
"Neonatal infections","G00-G09","G07"
"Neonatal infections","G00-G09","G08"
"Neonatal infections","G00-G09","G09"
"Other","G10-G39","G10"
"Other","G10-G39","G11"
"Other","G10-G39","G12"
"Other","G10-G39","G13"
"Other","G10-G39","G14"
"Other","G10-G39","G15"
"Other","G10-G39","G16"
"Other","G10-G39","G17"
"Other","G10-G39","G18"
"Other","G10-G39","G19"
"Other","G10-G39","G20"
"Other","G10-G39","G21"
"Other","G10-G39","G22"
"Other","G10-G39","G23"
"Other","G10-G39","G24"
"Other","G10-G39","G25"
"Other","G10-G39","G26"
"Other","G10-G39","G27"
"Other","G10-G39","G28"
"Other","G10-G39","G29"
"Other","G10-G39","G30"
"Other","G10-G39","G31"
"Other","G10-G39","G32"
"Other","G10-G39","G33"
"Other","G10-G39","G34"
"Other","G10-G39","G35"
"Other","G10-G39","G36"
"Other","G10-G39","G37"
"Other","G10-G39","G38"
"Other","G10-G39","G39"
"Birth asphyxia and birth trauma","G40","G40"
"Other","G41-G99","G41"
"Other","G41-G99","G42"
"Other","G41-G99","G43"
"Other","G41-G99","G44"
"Other","G41-G99","G45"
"Other","G41-G99","G46"
"Other","G41-G99","G47"
"Other","G41-G99","G48"
"Other","G41-G99","G49"
"Other","G41-G99","G50"
"Other","G41-G99","G51"
"Other","G41-G99","G52"
"Other","G41-G99","G53"
"Other","G41-G99","G54"
"Other","G41-G99","G55"
"Other","G41-G99","G56"
"Other","G41-G99","G57"
"Other","G41-G99","G58"
"Other","G41-G99","G59"
"Other","G41-G99","G60"
"Other","G41-G99","G61"
"Other","G41-G99","G62"
"Other","G41-G99","G63"
"Other","G41-G99","G64"
"Other","G41-G99","G65"
"Other","G41-G99","G66"
"Other","G41-G99","G67"
"Other","G41-G99","G68"
"Other","G41-G99","G69"
"Other","G41-G99","G70"
"Other","G41-G99","G71"
"Other","G41-G99","G72"
"Other","G41-G99","G73"
"Other","G41-G99","G74"
"Other","G41-G99","G75"
"Other","G41-G99","G76"
"Other","G41-G99","G77"
"Other","G41-G99","G78"
"Other","G41-G99","G79"
"Other","G41-G99","G80"
"Other","G41-G99","G81"
"Other","G41-G99","G82"
"Other","G41-G99","G83"
"Other","G41-G99","G84"
"Other","G41-G99","G85"
"Other","G41-G99","G86"
"Other","G41-G99","G87"
"Other","G41-G99","G88"
"Other","G41-G99","G89"
"Other","G41-G99","G90"
"Other","G41-G99","G91"
"Other","G41-G99","G92"
"Other","G41-G99","G93"
"Other","G41-G99","G94"
"Other","G41-G99","G95"
"Other","G41-G99","G96"
"Other","G41-G99","G97"
"Other","G41-G99","G98"
"Other","G41-G99","G99"
"Other","H00-H06","H00"
"Other","H00-H06","H01"
"Other","H00-H06","H02"
"Other","H00-H06","H03"
"Other","H00-H06","H04"
"Other","H00-H06","H05"
"Other","H00-H06","H06"
"Neonatal infections","H10","H10"
"Other","H11-H59","H11"
"Other","H11-H59","H12"
"Other","H11-H59","H13"
"Other","H11-H59","H14"
"Other","H11-H59","H15"
"Other","H11-H59","H16"
"Other","H11-H59","H17"
"Other","H11-H59","H18"
"Other","H11-H59","H19"
"Other","H11-H59","H20"
"Other","H11-H59","H21"
"Other","H11-H59","H22"
"Other","H11-H59","H23"
"Other","H11-H59","H24"
"Other","H11-H59","H25"
"Other","H11-H59","H26"
"Other","H11-H59","H27"
"Other","H11-H59","H28"
"Other","H11-H59","H29"
"Other","H11-H59","H30"
"Other","H11-H59","H31"
"Other","H11-H59","H32"
"Other","H11-H59","H33"
"Other","H11-H59","H34"
"Other","H11-H59","H35"
"Other","H11-H59","H36"
"Other","H11-H59","H37"
"Other","H11-H59","H38"
"Other","H11-H59","H39"
"Other","H11-H59","H40"
"Other","H11-H59","H41"
